iter	Logloss
0	0.6889311711
1	0.6847436035
2	0.6824127006
3	0.6788533273
4	0.6762395409
5	0.6720132242
6	0.6687042904
7	0.6649787123
8	0.6608547137
9	0.6569646957
10	0.6545814219
11	0.6520910281
12	0.6496443693
13	0.6460278516
14	0.6428359242
15	0.6402088631
16	0.6371054705
17	0.6333055285
18	0.6312686851
19	0.6277311819
20	0.6243404644
21	0.621436787
22	0.6183601189
23	0.6155198829
24	0.6117185507
25	0.6093076241
26	0.6074851758
27	0.6052890091
28	0.6030444642
29	0.6005215664
30	0.5984372173
31	0.5953820629
32	0.5927799626
33	0.5906568408
34	0.5891710974
35	0.5857553116
36	0.581618526
37	0.578534209
38	0.5762443612
39	0.575095863
40	0.5717235753
41	0.5694534969
42	0.5667526016
43	0.5646399548
44	0.5607442853
45	0.5579796971
46	0.5556628077
47	0.5533525558
48	0.5512314564
49	0.5488458496
50	0.5463986834
51	0.542983487
52	0.5398318525
53	0.5374862091
54	0.5346892418
55	0.5320508534
56	0.5292881578
57	0.5276935924
58	0.5261331496
59	0.525001012
60	0.5230122078
61	0.5208036973
62	0.5179284474
63	0.515700281
64	0.5134072134
65	0.511839532
66	0.5100654616
67	0.508189076
68	0.5063665588
69	0.5044421509
70	0.50201433
71	0.5005223327
72	0.4978143507
73	0.4953126986
74	0.4930998215
75	0.4915601978
76	0.4900345345
77	0.4883651535
78	0.4861942813
79	0.4849176887
80	0.4829246429
81	0.4815601054
82	0.4795142448
83	0.4778110977
84	0.4751139294
85	0.4734833319
86	0.4718607328
87	0.4697646638
88	0.4685046641
89	0.4674115752
90	0.4652718392
91	0.4636131642
92	0.4619174343
93	0.4594536661
94	0.4578621513
95	0.4562256652
96	0.4541926063
97	0.4529458512
98	0.4503662464
99	0.4489097684
100	0.4475886334
101	0.4462472219
102	0.4440763237
103	0.4424908157
104	0.4419705695
105	0.4400628128
106	0.4383718598
107	0.4365345231
108	0.4351626365
109	0.4335695751
110	0.4321100328
111	0.4300407477
112	0.4287552172
113	0.4273080323
114	0.4265513521
115	0.425086204
116	0.4239460403
117	0.4227162977
118	0.4209360832
119	0.4189688154
120	0.4173840449
121	0.414871767
122	0.4136836215
123	0.4121373521
124	0.4113308806
125	0.4102815906
126	0.4094662016
127	0.40827839
128	0.4070158851
129	0.4059369991
130	0.4046714265
131	0.4033066263
132	0.4015658605
133	0.3998882701
134	0.3987034525
135	0.3969699384
136	0.3957890274
137	0.3942708836
138	0.3929134362
139	0.3920966227
140	0.3909862938
141	0.3900976008
142	0.3883495025
143	0.3875787083
144	0.3862270767
145	0.3850352378
146	0.3840172634
147	0.3827372862
148	0.3814547426
149	0.3803966176
150	0.3793568
151	0.3783339947
152	0.3773038527
153	0.3758452452
154	0.3749307718
155	0.3741887719
156	0.3730138404
157	0.3708923737
158	0.3699812343
159	0.3688393354
160	0.3674639867
161	0.3662977186
162	0.3652319901
163	0.3640239373
164	0.3634092502
165	0.3624237934
166	0.3614346065
167	0.3604365435
168	0.3592824517
169	0.3582817376
170	0.357082208
171	0.3557735144
172	0.3546663449
173	0.3538035502
174	0.3531430432
175	0.3521740745
176	0.3509803292
177	0.3499175026
178	0.3489919102
179	0.3476539199
180	0.3463967975
181	0.3454759984
182	0.3441573592
183	0.3427543723
184	0.3417870499
185	0.3408801843
186	0.339997361
187	0.3391230003
188	0.338702962
189	0.3379378132
190	0.3369395162
191	0.3363907737
192	0.3353283535
193	0.334624614
194	0.3338319179
195	0.3326460952
196	0.3317086499
197	0.3302344912
198	0.3298492199
199	0.3290502868
200	0.3284268004
201	0.3279943768
202	0.3264707419
203	0.325074764
204	0.3235632595
205	0.3224504158
206	0.3212632044
207	0.3200947103
208	0.3193726521
209	0.318361551
210	0.3173277187
211	0.316524309
212	0.3156983852
213	0.3148818889
214	0.3141300782
215	0.3131480758
216	0.3122130615
217	0.3113168962
218	0.3104529639
219	0.3095538299
220	0.3089575386
221	0.3083148089
222	0.3070807099
223	0.3064761389
224	0.3053880293
225	0.3045625253
226	0.3039152377
227	0.3023573015
228	0.3020234145
229	0.3012675963
230	0.3000648216
231	0.2996516814
232	0.2988866508
233	0.2983508151
234	0.2971556082
235	0.2962796514
236	0.295230656
237	0.2942862732
238	0.2933021184
239	0.292309356
240	0.2913840909
241	0.2901855448
242	0.2896346886
243	0.2888767898
244	0.2880194827
245	0.2874367278
246	0.2865706032
247	0.2859059862
248	0.2851906693
249	0.2843993733
250	0.2840655039
251	0.2835123577
252	0.2829600381
253	0.2824421468
254	0.2816657462
255	0.2806662831
256	0.2801557199
257	0.2795134826
258	0.2787732203
259	0.2785379992
260	0.278164019
261	0.2773088941
262	0.2763022598
263	0.2755218545
264	0.2746894472
265	0.2740114773
266	0.2730639109
267	0.2727457692
268	0.2721324582
269	0.2716122712
270	0.2709375683
271	0.2702653168
272	0.2697209395
273	0.2689940619
274	0.268637589
275	0.268157351
276	0.2674780172
277	0.2667443259
278	0.2659140775
279	0.2650670929
280	0.2644503099
281	0.2638329511
282	0.2627450891
283	0.2620728022
284	0.2617969614
285	0.2612778659
286	0.2603902554
287	0.260047578
288	0.2595915911
289	0.2587694858
290	0.2582779284
291	0.2576243659
292	0.256851765
293	0.2560453875
294	0.2556626513
295	0.254932475
296	0.2545124784
297	0.2534557437
298	0.2530397268
299	0.2525395176
300	0.2520821254
301	0.2518902932
302	0.2512262036
303	0.2504668854
304	0.2496222821
305	0.2492363448
306	0.2485174805
307	0.2480881302
308	0.2475383941
309	0.2469501471
310	0.2464563891
311	0.2459025395
312	0.2455056399
313	0.245190182
314	0.2447584393
315	0.2441414337
316	0.2438366704
317	0.2433326313
318	0.2427025899
319	0.2417349274
320	0.2410160554
321	0.2403832353
322	0.2397788478
323	0.2393312909
324	0.2387882853
325	0.2382710043
326	0.2373694138
327	0.2365642392
328	0.2360711391
329	0.2356417589
330	0.2349290641
331	0.2345946842
332	0.2337683497
333	0.2332418247
334	0.232652486
335	0.2321330243
336	0.2317429432
337	0.2312763665
338	0.2308568662
339	0.2299444221
340	0.229431633
341	0.2290111799
342	0.228648072
343	0.2282696756
344	0.228090755
345	0.2277160375
346	0.2269474269
347	0.2264374286
348	0.2261821579
349	0.2257567606
350	0.2254976197
351	0.2250111884
352	0.2245212448
353	0.2238213704
354	0.2235579762
355	0.223107134
356	0.2226958009
357	0.2223694885
358	0.2220708385
359	0.221355886
360	0.2208453433
361	0.2203617456
362	0.2199838622
363	0.2196291159
364	0.2193813346
365	0.2189069834
366	0.218303022
367	0.2180240212
368	0.2173612736
369	0.2170527917
370	0.2167623162
371	0.2162141213
372	0.2156715982
373	0.2148786503
374	0.2146663425
375	0.2140075905
376	0.213695257
377	0.2133187281
378	0.2127334088
379	0.2123608746
380	0.2119028395
381	0.2112932513
382	0.2106436147
383	0.2103042012
384	0.2094485721
385	0.209036334
386	0.2087087608
387	0.2080047687
388	0.2077084103
389	0.2074926404
390	0.2072362303
391	0.2068700355
392	0.2065855891
393	0.206326528
394	0.2054272353
395	0.2049389317
396	0.2047183734
397	0.2043905399
398	0.2038341906
399	0.2032332774
400	0.2028972952
401	0.2025619075
402	0.2020921409
403	0.2019062347
404	0.2016610874
405	0.2012582264
406	0.2007624237
407	0.2001201527
408	0.1996550765
409	0.1993745303
410	0.1988175492
411	0.1982832246
412	0.1976879054
413	0.1973049482
414	0.1969848174
415	0.1963304663
416	0.1960923836
417	0.1956814489
418	0.195435153
419	0.1951954938
420	0.1948974379
421	0.1946167726
422	0.1940076772
423	0.1937555573
424	0.1933936865
425	0.19288482
426	0.1924937357
427	0.1919850899
428	0.1914456444
429	0.1911167053
430	0.1908254131
431	0.1901471552
432	0.1898337983
433	0.1894215221
434	0.1891851693
435	0.1886967856
436	0.1882582852
437	0.1880522684
438	0.1878873147
439	0.187663095
440	0.1874940963
441	0.1871693361
442	0.1867603771
443	0.1862742395
444	0.1858839543
445	0.1856770225
446	0.1850346116
447	0.1845507423
448	0.1842925742
449	0.1838715525
450	0.1834075282
451	0.1832182719
452	0.1830075197
453	0.1824626669
454	0.1823394997
455	0.1819233516
456	0.1816072326
457	0.1812533028
458	0.1809733894
459	0.1806765922
460	0.1801864776
461	0.1799054231
462	0.1796996519
463	0.179440948
464	0.1791689536
465	0.1787293067
466	0.1783147527
467	0.1780454052
468	0.1779094273
469	0.1776374064
470	0.1774891533
471	0.1772963901
472	0.1769690985
473	0.1764875712
474	0.1762349555
475	0.1760456692
476	0.1755558565
477	0.1753506712
478	0.1750035899
479	0.1747419776
480	0.1742414667
481	0.1740490229
482	0.1738284441
483	0.1734084029
484	0.1731857288
485	0.1727140491
486	0.1724167358
487	0.172126495
488	0.1719146178
489	0.171723498
490	0.17132885
491	0.1711307087
492	0.1708167006
493	0.170470854
494	0.1701750348
495	0.170024734
496	0.1697742999
497	0.1696239855
498	0.1695217248
499	0.1693645709
500	0.1689311057
501	0.1685669459
502	0.1683198277
503	0.1680767015
504	0.1676277431
505	0.1672618421
506	0.1670798745
507	0.1668051984
508	0.1664657042
509	0.1662060396
510	0.1659512101
511	0.1656977782
512	0.1652857607
513	0.1647787431
514	0.1646364536
515	0.1642416314
516	0.1640326208
517	0.1638391232
518	0.1636063892
519	0.1633162028
520	0.1630374259
521	0.1626294691
522	0.1622314532
523	0.161857703
524	0.1616431832
525	0.16142638
526	0.1612795649
527	0.160903387
528	0.1606018581
529	0.1603853345
530	0.1600155835
531	0.1599137687
532	0.1596103366
533	0.1593429285
534	0.1589802888
535	0.1585692938
536	0.1584333173
537	0.1581279011
538	0.1576571391
539	0.1574721034
540	0.1571562401
541	0.156999772
542	0.1566062841
543	0.1564489295
544	0.1563356217
545	0.1561776373
546	0.156105587
547	0.1557472292
548	0.1556056058
549	0.1552984628
550	0.1550808073
551	0.1548415778
552	0.1546619376
553	0.1542938852
554	0.1541234748
555	0.1539000589
556	0.1535030331
557	0.1532379181
558	0.1527594694
559	0.1525848831
560	0.1522554446
561	0.1518816772
562	0.1518049706
563	0.1514614246
564	0.1512207313
565	0.1510822256
566	0.1508780567
567	0.1505196267
568	0.1501934332
569	0.1499186679
570	0.1496803477
571	0.1493493345
572	0.1492330078
573	0.1491161321
574	0.1484840386
575	0.1482396592
576	0.1481297934
577	0.1479235022
578	0.1477753458
579	0.1475992075
580	0.1473149028
581	0.1470218331
582	0.1468307966
583	0.1466244506
584	0.1464575382
585	0.1463328655
586	0.1460860716
587	0.1459655249
588	0.1457756503
589	0.1455383055
590	0.1454352792
591	0.1452245963
592	0.1450397415
593	0.1448071019
594	0.1444635522
595	0.1440128697
596	0.1437149381
597	0.1433398412
598	0.1431211096
599	0.1427483925
600	0.1425050899
601	0.1422748977
602	0.1420162338
603	0.1417140303
604	0.1416043307
605	0.1414507957
606	0.1413309331
607	0.1411780113
608	0.1409926017
609	0.1406568111
610	0.1404261574
611	0.1402149801
612	0.1398030093
613	0.1396380825
614	0.1394747032
615	0.1393443076
616	0.1389603885
617	0.1388851202
618	0.1383371293
619	0.1382404439
620	0.1380365228
621	0.1377018311
622	0.1374402016
623	0.1373500792
624	0.1372045642
625	0.1367920921
626	0.1366264785
627	0.1362920384
628	0.1361689559
629	0.1359895222
630	0.1358287049
631	0.1355349429
632	0.1353797493
633	0.1351205687
