data;rexc
2019-07-01;1.09825
2019-08-01;1.11096
2019-09-01;1.10967
2019-10-01;1.10162
2019-11-01;1.10783
2019-12-01;1.11215
2020-01-01;1.07528
2020-02-01;1.09826
2020-03-01;1.05401
2020-04-01;1.54613
2020-05-01;1.05705
2020-06-01;1.06157
2020-07-01;1.0617
2020-08-01;1.06437
2020-09-01;1.08157
2020-10-01;1.07401
2020-11-01;1.10303
2020-12-01;1.066
2021-01-01;1.05729
