date;trav;;;;;
12/02/1999;2.5568;;;;;
12/03/1999;1.170823537;;;;;
12/06/1999;0.606164331;;;;;
12/07/1999;-0.206314819;;;;;
12/08/1999;-0.150600265;;;;;
12/09/1999;0.40430609;;;;;
12/10/1999;0.671138964;;;;;
12/13/1999;0.780908616;;;;;
12/14/1999;0.109367169;;;;;
12/15/1999;-0.70885435;;;;;
12/16/1999;-1.397843437;;;;;
12/17/1999;0.669407478;;;;;
12/20/1999;1.12704026;;;;;
12/21/1999;1.139756149;;;;;
12/22/1999;1.550288385;;;;;
12/23/1999;0.829441213;;;;;
12/28/1999;0.094183974;;;;;
12/29/1999;0.97006457;;;;;
12/30/1999;0.973981795;;;;;
01/04/2000;0.724687638;;;;;
01/05/2000;-2.535683848;;;;;
01/06/2000;0.468810331;;;;;
01/07/2000;-0.167480532;;;;;
01/10/2000;0.265409499;;;;;
01/11/2000;0.983872335;;;;;
01/12/2000;-0.528389722;;;;;
1/13/2000;0.051850061;;;;;
1/14/2000;0.864120707;;;;;
1/17/2000;0.397032806;;;;;
1/18/2000;0.447463126;;;;;
1/19/2000;-0.175081575;;;;;
1/20/2000;-0.556797089;;;;;
1/21/2000;-0.381505957;;;;;
1/24/2000;-0.196619918;;;;;
1/27/2000;-0.092693853;;;;;
1/28/2000;-0.038969356;;;;;
1/31/2000;-0.62294849;;;;;
02/01/2000;-0.630845236;;;;;
02/02/2000;0.243969984;;;;;
02/03/2000;0.671946376;;;;;
02/04/2000;1.116419914;;;;;
02/07/2000;0.760954491;;;;;
02/08/2000;0.295056395;;;;;
02/09/2000;0.897845634;;;;;
02/10/2000;-0.48070481;;;;;
02/11/2000;0.369616852;;;;;
2/14/2000;-0.849999374;;;;;
2/15/2000;-0.407111305;;;;;
2/16/2000;0.164954879;;;;;
2/17/2000;0.333819566;;;;;
2/18/2000;-0.248525464;;;;;
2/21/2000;-0.719920619;;;;;
2/22/2000;0.151020258;;;;;
2/23/2000;-0.463594789;;;;;
2/24/2000;0.78447005;;;;;
2/25/2000;-0.127641251;;;;;
2/28/2000;0.026696259;;;;;
2/29/2000;-0.646817369;;;;;
03/01/2000;0.315491145;;;;;
