"","cdi","ret"
"2010-09-01",0.0084,0.0637034961102874
"2010-10-01",0.0081,0.017744553864361
"2010-11-01",0.0081,-0.0429035721947546
"2010-12-01",0.0093,0.0233570212305292
"2011-01-01",0.0086,-0.0401879219653214
"2011-02-01",0.0084,0.0120636288847713
"2011-03-01",0.0092,0.0177102518156715
"2011-04-01",0.0084,-0.0364351465530586
"2011-05-01",0.0099,-0.0231439054510272
"2011-06-01",0.0095,-0.0348945845113491
"2011-07-01",0.0097,-0.0590964409995838
"2011-08-01",0.0107,-0.0403807962242109
"2011-09-01",0.0094,-0.0766969818352283
"2011-10-01",0.0088,0.108798525229595
"2011-11-01",0.0086,-0.0253978047844612
"2011-12-01",0.009,-0.00212973881202672
"2012-01-01",0.0089,0.105550792511222
"2012-02-01",0.0074,0.0425252615540934
"2012-03-01",0.0081,-0.0199664406277602
"2012-04-01",0.007,-0.0426088151926738
"2012-05-01",0.0073,-0.126209738108962
"2012-06-01",0.0064,-0.0024805929390439
"2012-07-01",0.0068,0.0315457295069699
"2012-08-01",0.0069,0.0170385358806993
"2012-09-01",0.0054,0.0363951832419342
"2012-10-01",0.0061,-0.0362725150329997
"2012-11-01",0.0054,0.00710653139667805
"2012-12-01",0.0053,0.0587365985214632
"2013-01-01",0.0059,-0.0197333948850815
"2013-02-01",0.0048,-0.039890939880376
"2013-03-01",0.0054,-0.0188446020914554
"2013-04-01",0.006,-0.0078744772752426
"2013-05-01",0.0058,-0.04394945789217
"2013-06-01",0.0059,-0.119969759261831
"2013-07-01",0.0071,0.0162401286893274
"2013-08-01",0.007,0.0361188260556311
"2013-09-01",0.007,0.0455396920496263
"2013-10-01",0.008,0.0359909007041459
"2013-11-01",0.0071,-0.0332433317175092
"2013-12-01",0.0078,-0.0187525329025888
"2014-01-01",0.0084,-0.0780659672604589
"2014-02-01",0.0078,-0.0115061491299944
"2014-03-01",0.0076,0.0681431454724475
"2014-04-01",0.0082,0.0237366717084608
"2014-05-01",0.0086,-0.00752446071866864
"2014-06-01",0.0082,0.0369557507772669
"2014-07-01",0.0094,0.0488367360325128
"2014-08-01",0.0086,0.0932906175697692
"2014-09-01",0.009,-0.124454174473406
"2014-10-01",0.0094,0.00943498653833075
"2014-11-01",0.0084,0.000640480199033178
"2014-12-01",0.0096,-0.0890423618494172
"2015-01-01",0.0093,-0.0639747590302413
"2015-02-01",0.0082,0.0950039242413574
"2015-03-01",0.0104,-0.00842966844254001
