data;av
01/06/2017;-0.007602178
01/07/2017;0.000369615
01/08/2017;0.008116276
01/09/2017;0.012972807
01/10/2017;0.005807947
01/11/2017;2.44E-05
01/12/2017;-0.003940956
01/01/2018;0.008638331
01/02/2018;0.025253006
01/03/2018;0.000514488
01/04/2018;-0.000201129
01/05/2018;0.001296879
01/06/2018;-0.040773329
01/07/2018;-0.004738999
01/08/2018;0.01399889
01/09/2018;-0.003596844
01/10/2018;0.004704717
01/11/2018;0.024089956
01/12/2018;0.001991978
01/01/2019;-0.002810928
01/02/2019;0.027501741
01/03/2019;-0.001593791
01/04/2019;-0.000245359
01/05/2019;0.001451711
01/06/2019;0.001041353
01/07/2019;0.006586863
01/08/2019;0.001116923
01/09/2019;-0.001007176
01/10/2019;0.005580251
01/11/2019;0.003305122
01/12/2019;0.001363147
01/01/2020;0.013314715
01/02/2020;-0.001907951
01/03/2020;-0.022857341
01/04/2020;-0.394476701
